audio_path,name,V,A,gender,duration,discrete_emotion,split_set,transcript
/tmp/CCSEMO/audio/spk11-1-1-126.wav,spk11-1-1-126.wav,-0.333,3.0,F,6.18,neutral,train,然后低落的时候我就会想，哦，这样我这样做到底对不对？然后就是远内耗。
/tmp/CCSEMO/audio/spk11-1-1-128.wav,spk11-1-1-128.wav,-0.333,2.667,F,3.52,sad,train,大过嗯怎么样啊嗯？
/tmp/CCSEMO/audio/spk11-1-1-129.wav,spk11-1-1-129.wav,0.333,3.0,F,6.36,neutral,train,想法觉得自己是不是做的太极端，然后我就我知道这个事情，我就发在我们班级大群。
/tmp/CCSEMO/audio/spk11-1-1-131.wav,spk11-1-1-131.wav,-0.333,3.0,F,8.3,neutral,train,还还跟他对峙，然后他他是觉得他自己没有做错，他说呃我知道了这件事情。
/tmp/CCSEMO/audio/spk11-1-1-134.wav,spk11-1-1-134.wav,-0.667,2.833,F,5.08,sad,train,没有做错，然后我就删他微信，然后他还发朋友圈死我了，发长文didiss.
/tmp/CCSEMO/audio/spk11-1-1-135.wav,spk11-1-1-135.wav,0.0,3.0,F,5.02,neutral,train,嗯，然后后面我会觉得呃我这样做到底对我们怎么。
/tmp/CCSEMO/audio/spk11-1-1-136.wav,spk11-1-1-136.wav,0.0,2.833,F,6.635,neutral,train,我也觉得有得极点极端，然后一直想，然后现在觉得应该还是我站理一点吧。
/tmp/CCSEMO/audio/spk11-1-1-137.wav,spk11-1-1-137.wav,-0.333,2.0,F,14.61,sad,train,他们都说好离谱，为什么要这样啊？然后我说然后呢就是嗯反正就是嗯应该觉得因为那个女生她其实带副皮不是很好。
/tmp/CCSEMO/audio/spk11-1-1-138.wav,spk11-1-1-138.wav,-0.667,3.0,F,5.48,neutral,train,因为他也经常把我们的一些事情告诉班主任啊，也经常打小报告这样子的对。
/tmp/CCSEMO/audio/spk11-1-1-140.wav,spk11-1-1-140.wav,0.667,2.833,F,3.22,happy,train,保卫证明没有关系，但是我是私房人。
/tmp/CCSEMO/audio/spk11-1-1-144.wav,spk11-1-1-144.wav,0.167,3.0,F,7.01,neutral,train,嗯，就是是就是是常常，也就是之前我有个小学同学。
/tmp/CCSEMO/audio/spk11-1-1-145.wav,spk11-1-1-145.wav,-0.333,3.0,F,6.76,neutral,train,然后两个就是死敌，然后在初中的时候嗯，然后一一起又上初中。
/tmp/CCSEMO/audio/spk11-1-1-146.wav,spk11-1-1-146.wav,-0.333,3.0,F,5.72,neutral,train,又是同班的，然后我们俩反正就是互相很讨厌对方，但是我觉得我也没有做错什么。
/tmp/CCSEMO/audio/spk11-1-1-148.wav,spk11-1-1-148.wav,-0.333,3.167,F,8.1,neutral,train,然后就是他还说我这是请假，是是说是我是请请孕期。
/tmp/CCSEMO/audio/spk11-1-1-150.wav,spk11-1-1-150.wav,-0.5,3.0,F,9.25,sad,train,然后经常在那里女男生那边说说我一些画画什么的，然后可能就是跟他嗯有仇吧。
/tmp/CCSEMO/audio/spk11-1-1-152.wav,spk11-1-1-152.wav,0.0,2.833,F,9.29,neutral,train,他可能是因为嗯之前我我猜是因为嗯他他之前跟他女朋友是是呃。
/tmp/CCSEMO/audio/spk11-1-1-153.wav,spk11-1-1-153.wav,0.0,2.833,F,7.68,neutral,train,然后我我猜他跟我提的原因应该是嗯之前他跟他女朋友是我促成的嘛。
/tmp/CCSEMO/audio/spk11-1-1-215.wav,spk11-1-1-215.wav,-0.333,2.833,F,5.04,sad,train,挺好的，然后就是月考那段时间呃，就是很焦虑啊。
/tmp/CCSEMO/audio/spk11-1-1-216.wav,spk11-1-1-216.wav,-0.667,2.667,F,6.01,sad,train,我整晚整晚都睡不着，然后就然后那那次就呃断断续。
/tmp/CCSEMO/audio/spk11-1-1-217.wav,spk11-1-1-217.wav,-0.333,2.667,F,5.4,neutral,train,那次就嗯就是懒，自己好像只能坐着去想东西。
/tmp/CCSEMO/audio/spk11-1-1-218.wav,spk11-1-1-218.wav,-0.667,2.833,F,7.92,sad,train,去想一些没有必要的事情，然后只能坐在那想或什么都做不了。然后我上课的时候，注意力就是没法低。
/tmp/CCSEMO/audio/spk11-1-1-219.wav,spk11-1-1-219.wav,-0.667,2.833,F,5.62,sad,train,可能在停，很只是在停，但是进不去脑子，然后我就很冷心嘛。
/tmp/CCSEMO/audio/spk11-1-1-220.wav,spk11-1-1-220.wav,-0.667,2.333,F,8.43,sad,train,然后就失眠啊，然后那次就没有考，然后在我爸，然后送我妈送送，我去我妈妈那里散心。
/tmp/CCSEMO/audio/spk11-1-1-221.wav,spk11-1-1-221.wav,0.0,2.833,F,6.52,neutral,train,太用的时间觉得自己好了，然后回学校回学校之后就去了湖南延区。
/tmp/CCSEMO/audio/spk11-1-1-223.wav,spk11-1-1-223.wav,-0.667,3.0,F,5.0,neutral,train,一个晚上的时候还能睡着，然后第二天不知道为什么，应该又是又是到低落。
/tmp/CCSEMO/audio/spk11-1-1-224.wav,spk11-1-1-224.wav,-1.0,2.833,F,7.44,sad,train,哦，你晚上就是去玩，也提不起兴趣啊，然后嗯嗯又整晚都睡不着。
/tmp/CCSEMO/audio/spk11-1-1-225.wav,spk11-1-1-225.wav,0.167,2.833,F,6.09,neutral,train,然后然后也有可能是因为他们带我们参观，看过千年女史。
/tmp/CCSEMO/audio/spk11-1-1-226.wav,spk11-1-1-226.wav,-1.0,2.833,F,5.84,fear,train,就是一个尸体堂的那里，然后当天晚上回去的时候就很害怕，就恐恐恐怖。
/tmp/CCSEMO/audio/spk11-1-1-227.wav,spk11-1-1-227.wav,0.0,3.0,F,8.64,neutral,train,去以后担心睡不着觉，然后我听其他人说他们那种这种感觉，可能是因为那个事情有一点点关系吧。然后。
/tmp/CCSEMO/audio/spk11-1-1-228.wav,spk11-1-1-228.wav,-0.333,3.0,F,4.38,neutral,train,然后又开始失眠，然后呢，然后自从那次我就没回过学校嗯。
/tmp/CCSEMO/audio/spk11-1-1-231.wav,spk11-1-1-231.wav,-0.333,2.833,F,6.22,sad,train,玩着玩着也是二十几号，那那天，然后就突然本来前一天还是很兴奋，然后到处去玩。
/tmp/CCSEMO/audio/spk11-1-1-232.wav,spk11-1-1-232.wav,0.0,2.667,F,6.59,neutral,train,然后嗯就是然后我就隔第二天出去玩的时候。
/tmp/CCSEMO/audio/spk11-1-1-240.wav,spk11-1-1-240.wav,0.0,2.833,F,5.34,neutral,train,然后去吃了我隔壁那个跟我一起睡觉的那个那女生起床，然后收拾东西。
/tmp/CCSEMO/audio/spk11-1-1-241.wav,spk11-1-1-241.wav,-0.333,2.833,F,5.5,sad,train,然后那天还是神采奕奕，或第二天起，就是感觉就浑浑充满满了运。
/tmp/CCSEMO/audio/spk11-1-1-242.wav,spk11-1-1-242.wav,-0.333,3.0,F,5.06,neutral,train,前后起不来后，那天起床还要收拾行李啊，拖着行李下去。
/tmp/CCSEMO/audio/spk11-1-1-243.wav,spk11-1-1-243.wav,-0.333,3.0,F,6.81,neutral,train,嗯，然后就感觉然后就感觉嗯就不自在了。然后那天晚上我就打电话跟我爸说。
/tmp/CCSEMO/audio/spk11-1-1-245.wav,spk11-1-1-245.wav,-0.667,3.0,F,7.04,neutral,train,然后就很烦躁嘛，然后又收手机了，然后手机就一直充不上电，然后我爸就找。
/tmp/CCSEMO/audio/spk11-1-1-246.wav,spk11-1-1-246.wav,0.0,2.833,F,5.58,neutral,train,然后我就跟我爸说，我爸说啊放松后，然后他然后就安慰我情绪。
/tmp/CCSEMO/audio/spk11-1-1-247.wav,spk11-1-1-247.wav,0.0,2.833,F,5.24,neutral,train,然后那时候我的就是跟我一起住的那个女生在洗澡，然后就在跟我爸。
/tmp/CCSEMO/audio/spk11-1-1-248.wav,spk11-1-1-248.wav,-0.333,2.833,F,5.51,sad,train,我差点哭了，然后叫我爸就是找老师帮我充电。
/tmp/CCSEMO/audio/spk11-1-1-249.wav,spk11-1-1-249.wav,-0.333,2.833,F,6.52,sad,train,嗯，就第二天我就就是有什么精神，然后返程的时候。
/tmp/CCSEMO/audio/spk11-1-1-252.wav,spk11-1-1-252.wav,-0.333,2.667,F,6.14,sad,train,就只是脑子里就是想东西也不能想什么，想什么东西也不太行。
/tmp/CCSEMO/audio/spk11-1-1-253.wav,spk11-1-1-253.wav,0.0,2.833,F,5.18,neutral,train,都想什么都想。嗯，就是比如如果我在那个回学去的时候。
/tmp/CCSEMO/audio/spk11-1-1-254.wav,spk11-1-1-254.wav,-0.333,2.833,F,7.24,fear,train,就是听到有人什么脚卡在了进高铁那个缝上，然后恢复担心啊，我等下我走路的时候会不会卡？
/tmp/CCSEMO/audio/spk11-1-1-255.wav,spk11-1-1-255.wav,-0.333,3.167,F,7.32,neutral,train,然后去上厕所，如果我上的久了，我我会不会嗯被那个大部队呃。
/tmp/CCSEMO/audio/spk11-1-1-257.wav,spk11-1-1-257.wav,-0.667,2.333,F,8.15,sad,train,就开始想，然后马上就开始想第二件事情哦，那个时候就比较特别焦虑哦，老是。
/tmp/CCSEMO/audio/spk11-1-1-259.wav,spk11-1-1-259.wav,0.0,2.833,F,6.76,neutral,train,期末的时候没有，就是做事不考虑后果，你知道吗？然后以后的时候就特别考虑后果。
/tmp/CCSEMO/audio/spk11-1-1-261.wav,spk11-1-1-261.wav,-1.0,2.5,F,7.125,fear,train,也是大家好，害怕啊，然后就是感觉就是只想把自己封在房子。
/tmp/CCSEMO/audio/spk11-1-1-263.wav,spk11-1-1-263.wav,0.0,3.0,F,5.0,neutral,train,他会特别推送一些什么恐怖电影啊、悬疑电影啊，给我。
/tmp/CCSEMO/audio/spk11-1-1-264.wav,spk11-1-1-264.wav,-1.0,3.0,F,10.32,fear,train,我感觉我不敢看，就是呃我特别时期的话，我感觉看手机就是呃戴着有色眼镜去看一些东西。
/tmp/CCSEMO/audio/spk11-1-1-281.wav,spk11-1-1-281.wav,0.0,3.0,F,5.38,neutral,train,书，然后就是那种也是缓解焦虑的，有个事例书什么。
/tmp/CCSEMO/audio/spk11-1-1-282.wav,spk11-1-1-282.wav,0.0,2.833,F,5.6,neutral,train,嗯，也是说有一个人嗯觉得自己有这些，然后走遍了各各大。
/tmp/CCSEMO/audio/spk11-1-1-284.wav,spk11-1-1-284.wav,0.0,3.0,F,6.66,neutral,train,那时候他还没觉得自己有这种抑郁焦虑，但是只是觉得自己呃什么没休息好引发的这些问。
/tmp/CCSEMO/audio/spk11-1-1-285.wav,spk11-1-1-285.wav,-0.667,2.167,F,5.89,sad,train,就身体那些机能，我感觉好像没有没有那么健康的感觉。
/tmp/CCSEMO/audio/spk11-1-1-286.wav,spk11-1-1-286.wav,-0.667,2.833,F,6.06,sad,train,时不时啊这里头那里头没有网名啊，什么问题，什么问题都出现了。
/tmp/CCSEMO/audio/spk11-1-1-287.wav,spk11-1-1-287.wav,-0.333,2.833,F,4.92,sad,train,就是晚上睡觉时候有时会有一些吧，但是也没有那么多次。
/tmp/CCSEMO/audio/spk11-1-1-289.wav,spk11-1-1-289.wav,0.0,2.833,F,6.84,neutral,train,好像说过一遍，嗯，然后那次月考就是很奇怪。
/tmp/CCSEMO/audio/spk11-1-1-290.wav,spk11-1-1-290.wav,0.0,2.833,F,6.58,neutral,train,我写写，比如是我们老师嘛，老以就是周测，然后写这篇作文嘛。
/tmp/CCSEMO/audio/spk11-1-1-291.wav,spk11-1-1-291.wav,0.333,3.167,F,5.48,surprise,train,就写作文，然后好像就是感觉之前好像做过这张卷啊。
/tmp/CCSEMO/audio/spk11-1-1-292.wav,spk11-1-1-292.wav,-0.333,2.833,F,5.76,sad,train,然后嗯这一次嗯失眠啊，我又会觉得好像我之前失眠过。
/tmp/CCSEMO/audio/spk11-1-1-295.wav,spk11-1-1-295.wav,0.0,2.833,F,6.44,neutral,train,然后呃一次被鱼骨哦，不比那个就是鸡翅骨，然后喉咙。
/tmp/CCSEMO/audio/spk11-1-1-296.wav,spk11-1-1-296.wav,0.0,2.833,F,3.72,neutral,train,然后那个时候觉得好像我之前也被卡过一次这样子哦。
/tmp/CCSEMO/audio/spk11-1-1-299.wav,spk11-1-1-299.wav,0.0,2.833,F,7.6,neutral,train,是没有去江门看过医生。嗯，然后我又梦到我去江门看了医生，然后然后又去。
/tmp/CCSEMO/audio/spk11-1-1-300.wav,spk11-1-1-300.wav,-0.667,2.0,F,3.52,sad,train,挺挺不真实的。
/tmp/CCSEMO/audio/spk11-1-1-301.wav,spk11-1-1-301.wav,-0.333,3.0,F,8.66,neutral,train,一直就跟呃就是发生什么班级转来这个转学生。然后我好像我我印象好像说之前好像转来了一。
/tmp/CCSEMO/audio/spk11-1-1-302.wav,spk11-1-1-302.wav,-0.333,3.0,F,5.36,neutral,train,次，然后又去其他班，然后我就跟他们说，然后他们说没有啊，都没有转过啊。
/tmp/CCSEMO/audio/spk11-1-1-303.wav,spk11-1-1-303.wav,-0.333,2.0,F,6.39,sad,train,就觉得现在发生的事情好像以前发生了恐慌，但是现在没有现在没有。
/tmp/CCSEMO/audio/spk11-1-1-305.wav,spk11-1-1-305.wav,0.0,2.667,F,6.99,neutral,train,因为那时候开始呃比较断断续续的，嗯，有时候比较兴奋。
/tmp/CCSEMO/audio/spk11-1-1-306.wav,spk11-1-1-306.wav,-0.667,2.0,F,6.07,sad,train,我有时候就比较说话，没没没有没有什么说话，然后周围同学的书好像我有点无言。
/tmp/CCSEMO/audio/spk11-1-1-309.wav,spk11-1-1-309.wav,0.0,1.833,F,4.12,sad,train,这效果应该刷到这是什么心理学现象，刷到看不看？
/tmp/CCSEMO/audio/spk11-1-1-312.wav,spk11-1-1-312.wav,-0.333,3.0,F,5.64,neutral,train,我就觉得好像这段时间发生，就是这次月考，好像我之前考过了。
/tmp/CCSEMO/audio/spk11-1-1-313.wav,spk11-1-1-313.wav,-0.333,2.667,F,8.64,sad,train,然后呢，就是好像这几天失眠，好像我之前也是月考前失眠，但是我又我又呃成功的考完试。
/tmp/CCSEMO/audio/spk11-1-1-314.wav,spk11-1-1-314.wav,-0.667,2.667,F,7.29,sad,train,取得不够成绩，然后这次就这样嘛，然后我就觉得很有压力嘛，然后我就失眠了嘛。
/tmp/CCSEMO/audio/spk11-1-1-316.wav,spk11-1-1-316.wav,-0.333,3.0,F,6.775,neutral,train,第一第一天嘛，他就是一个即视感使秒，后来就想很多问题啊，然后想后来还想什么。
/tmp/CCSEMO/audio/spk11-1-1-317.wav,spk11-1-1-317.wav,-0.333,1.833,F,8.32,sad,train,嗯嗯，嗯就是还想什么哦，以后以后将来的事情可能就是讲很多事。
/tmp/CCSEMO/audio/spk11-1-1-318.wav,spk11-1-1-318.wav,-0.333,2.333,F,9.3,sad,train,还是啊嗯我不知道当时我有忘记我，大概是嗯如果失眠了。
/tmp/CCSEMO/audio/spk11-1-1-319.wav,spk11-1-1-319.wav,-0.333,2.833,F,5.22,sad,train,然后然后请假会不会给家人造成什么负？然类似吧。
/tmp/CCSEMO/audio/spk11-1-1-323.wav,spk11-1-1-323.wav,0.0,2.833,F,5.73,neutral,train,然后我们我的同学看我没有回去嘛，然后他们就安慰我说，别给自己太大压力。
/tmp/CCSEMO/audio/spk11-1-1-324.wav,spk11-1-1-324.wav,0.333,3.0,F,6.2,neutral,train,你成本本来就好，然后就让我放挺松。然后我就然后有个学校当时就跟我这样说。
/tmp/CCSEMO/audio/spk11-1-1-325.wav,spk11-1-1-325.wav,0.0,2.667,F,5.53,neutral,train,给我送开学，而我我那时候就是兴奋的时候又上学了嘛。
/tmp/CCSEMO/audio/spk11-1-1-326.wav,spk11-1-1-326.wav,-0.333,2.833,F,7.16,sad,train,然后就还送一些，然后呃兴奋了一段时间，那段时间就是快要去湖南玩去。
/tmp/CCSEMO/audio/spk11-1-1-327.wav,spk11-1-1-327.wav,-0.333,3.0,F,5.37,neutral,train,然后然后我就一直那段时间就是特别催眠，特别缺什么。
/tmp/CCSEMO/audio/spk11-1-1-328.wav,spk11-1-1-328.wav,-0.333,2.833,F,6.34,sad,train,特别缺缺棉，然后就是缺棉，嗯，就是啊上课的时候有有睡觉。
/tmp/CCSEMO/audio/spk11-1-1-329.wav,spk11-1-1-329.wav,-0.333,3.167,F,5.36,sad,train,然后做完作业吧，修的时候，人家都要么就是写作业，要么就是看看看小。
/tmp/CCSEMO/audio/spk11-1-1-390.wav,spk11-1-1-390.wav,0.0,2.333,F,4.45,neutral,train,嗯，他我也不知道，他几岁，他是二零一八年出什么的。
/tmp/CCSEMO/audio/spk11-1-1-391.wav,spk11-1-1-391.wav,0.0,1.833,F,5.71,sad,train,在我应该是小幼儿园的时候吧，应该是大班。
/tmp/CCSEMO/audio/spk11-1-1-392.wav,spk11-1-1-392.wav,-1.0,2.5,F,14.269,sad,train,这个事情也是不是特别想记记住哦，不是特别想记住，是因为觉得那从小就是嗯因为这个就比较嗯。
/tmp/CCSEMO/audio/spk11-1-1-393.wav,spk11-1-1-393.wav,-0.667,2.333,F,11.785,sad,train,我小时候就看到呃别人放学都是有爸爸接，然后就是自己一个人走回家嗯，哦，小学开始就是一个人回家的。
/tmp/CCSEMO/audio/spk11-1-1-395.wav,spk11-1-1-395.wav,-0.667,2.5,F,5.44,sad,train,嗯，有没有垃圾，然后我小时候我爸爸就经常观望。
/tmp/CCSEMO/audio/spk11-1-1-398.wav,spk11-1-1-398.wav,-0.667,2.333,F,5.26,sad,train,每天晚上都骂他，骂了，我想睡觉，就是他在悟空堂那里受了气嘛。
/tmp/CCSEMO/audio/spk11-1-1-402.wav,spk11-1-1-402.wav,0.0,2.833,F,6.945,neutral,train,嗯，然后就嗯有一次就是六年级的时候，那时候应该不算哦。
/tmp/CCSEMO/audio/spk11-1-1-403.wav,spk11-1-1-403.wav,-0.333,2.333,F,7.2,sad,train,嗯，也有一点点失眠啊，然后那时哎呦嗯反正就是因为各种原因。
/tmp/CCSEMO/audio/spk11-1-1-404.wav,spk11-1-1-404.wav,-0.333,2.667,F,5.7,sad,train,然后就嗯情绪崩溃，然后就呃回来回来家里面。
/tmp/CCSEMO/audio/spk11-1-1-405.wav,spk11-1-1-405.wav,0.0,2.833,F,7.02,neutral,train,就嗯我爸上来开导我，嗯，就是我又嗯那然后那那天就没上学。
/tmp/CCSEMO/audio/spk11-1-1-406.wav,spk11-1-1-406.wav,-1.0,2.667,F,6.24,fear,train,听到我奶奶下楼梯那种脚步声，我看到她就还很害怕对她那种恐惧。
/tmp/CCSEMO/audio/spk11-1-1-407.wav,spk11-1-1-407.wav,-0.667,2.333,F,5.89,sad,train,然后呃然后这几次迪露的时候。
/tmp/CCSEMO/audio/spk11-1-1-408.wav,spk11-1-1-408.wav,-1.0,2.667,F,4.1,fear,train,他也是恐惧的阴影嘛。
/tmp/CCSEMO/audio/spk11-1-1-410.wav,spk11-1-1-410.wav,-0.667,2.5,F,9.46,sad,train,等过了几年之后就去后台，就说让我爸再找一个嘛。然后我爸每次呃，有有一个，然后他就每次都问我。
/tmp/CCSEMO/audio/spk11-1-1-412.wav,spk11-1-1-412.wav,0.0,2.667,F,6.56,neutral,train,日然后会做蛋糕，然后问我，然后我就说好啊，让然后让我爸在那接触嘛，然后他们后来就真的结婚了嘛。
/tmp/CCSEMO/audio/spk11-1-1-413.wav,spk11-1-1-413.wav,0.0,2.667,F,3.08,neutral,train,那个那个我妈，她跟我是同一天生，因为我比较有缘分。
/tmp/CCSEMO/audio/spk11-1-1-414.wav,spk11-1-1-414.wav,0.0,2.833,F,7.01,neutral,train,然后嗯这一次他也嗯我首先这种他就嗯上来就开解我嘛。
/tmp/CCSEMO/audio/spk11-1-1-415.wav,spk11-1-1-415.wav,-0.333,2.667,F,7.14,sad,train,说以后有问题不用自己憋着，可以找他说。然后但是吴奶奶就是对我对我们有偏见的。
/tmp/CCSEMO/audio/spk11-1-1-416.wav,spk11-1-1-416.wav,-0.333,3.0,F,4.22,neutral,train,可能一直有偏见，然后我们就是这样吧。
/tmp/CCSEMO/audio/spk11-1-1-418.wav,spk11-1-1-418.wav,0.0,2.833,F,5.18,neutral,train,但是我爸妈说，她说她是经常想带我出去的，但是因为我奶奶嘛。
/tmp/CCSEMO/audio/spk11-1-1-419.wav,spk11-1-1-419.wav,-0.333,3.167,F,5.4,neutral,train,以后上次他之前带我出去呃玩，然后我回来就是觉得肚子不舒服。
/tmp/CCSEMO/audio/spk11-1-1-420.wav,spk11-1-1-420.wav,-0.833,3.167,F,5.18,angry,train,后他就觉得啊十午后嘛带我出去乱吃的东西，然后反正就是什么京都怪。
/tmp/CCSEMO/audio/spk11-1-1-422.wav,spk11-1-1-422.wav,-1.0,3.167,F,5.96,angry,train,我后妈跟他跟我舅舅，还有舅妈，还有那些小朋友出去玩和带过。
/tmp/CCSEMO/audio/spk11-1-1-428.wav,spk11-1-1-428.wav,0.0,2.833,F,7.18,neutral,train,是我奶奶在那里问水，然后我忘了，然后他反正她习惯了，然后问还问我下次出去玩要不要带我这样子。
/tmp/CCSEMO/audio/spk11-1-1-429.wav,spk11-1-1-429.wav,-0.667,2.833,F,3.69,sad,train,嗯嗯，跟我们奶奶就是没法正常正常沟通。
/tmp/CCSEMO/audio/spk11-1-1-431.wav,spk11-1-1-431.wav,-0.833,2.833,F,8.08,sad,train,肯定他有偏见的。然后我爷爷对他也挺有偏见的，爷爷对后妈有有偏见，他们两个就是我奶奶天天天天天天骂骂。
/tmp/CCSEMO/audio/spk11-1-1-435.wav,spk11-1-1-435.wav,-0.333,2.5,F,6.27,sad,train,就是就是后来慢慢的慢问的嘛，然后这一次因为我这样子呃。
/tmp/CCSEMO/audio/spk11-1-1-437.wav,spk11-1-1-437.wav,-0.333,2.833,F,5.36,sad,train,没有冰室，冰室都是嗯这样，就是我爸跟我妈跟我妹住一层。
/tmp/CCSEMO/audio/spk11-1-1-439.wav,spk11-1-1-439.wav,0.0,2.667,F,5.64,neutral,train,嗯，没有没有什么照顾吧，就是出去玩的时候带我呀，然后怎么反正就是没有过多接触了。
/tmp/CCSEMO/audio/spk11-1-1-440.wav,spk11-1-1-440.wav,-1.167,2.0,F,6.4,disgust,train,都不想听他说话，无语啊，然后天天说，嗯，但是我很争气一点。
/tmp/CCSEMO/audio/spk11-1-1-442.wav,spk11-1-1-442.wav,-0.333,2.0,F,6.48,sad,train,就属于嗯我想一想，名字本来是用方言说的。
/tmp/CCSEMO/audio/spk11-1-1-444.wav,spk11-1-1-444.wav,-0.667,2.333,F,5.28,sad,train,他的心很对不起我，还有很对不起奶奶，他妈她就让我让我争气一点。
/tmp/CCSEMO/audio/spk11-1-1-451.wav,spk11-1-1-451.wav,0.0,2.5,F,6.52,neutral,train,是吗么？嗯，正常就是可以跟他说一些什么看综艺啊，历史有兴趣的东西。
/tmp/CCSEMO/audio/spk11-1-1-452.wav,spk11-1-1-452.wav,0.0,2.833,F,6.9,neutral,train,哦，然后呃嗯可以一起出去吃一些，想吃一些什么饭店要带我打卡。
/tmp/CCSEMO/audio/spk11-1-1-453.wav,spk11-1-1-453.wav,-0.667,2.5,F,5.69,sad,train,嗯，我说的就是我们两个，就是嗯没有什么共同语言吧。
/tmp/CCSEMO/audio/spk11-1-1-454.wav,spk11-1-1-454.wav,0.0,2.667,F,6.63,neutral,train,没有，他是吃素的哦，然后一些，然后又是嗯怎么说呢？
/tmp/CCSEMO/audio/spk11-1-1-455.wav,spk11-1-1-455.wav,-0.333,2.833,F,5.78,sad,train,嗯，修行吧，然后就是比较呃看淡，也不追求一些什么东西。
/tmp/CCSEMO/audio/spk11-1-1-457.wav,spk11-1-1-457.wav,-0.167,2.5,F,7.69,sad,train,嗯，低落的时候跟他在一起可以提高正能量嘛，就是就是情就是情信自身的那种感觉。
/tmp/CCSEMO/audio/spk11-1-1-459.wav,spk11-1-1-459.wav,0.0,3.333,F,4.66,neutral,train,然后他他就喜欢清静一点的，有时候我我我喜欢听一些的歌曲比较吵。
/tmp/CCSEMO/audio/spk11-1-1-461.wav,spk11-1-1-461.wav,-0.333,2.333,F,8.019,sad,train,就寻找自身想要的是什么？就是在那儿就挺宁静的，就是他喝茶就是一些茶会。
/tmp/CCSEMO/audio/spk11-1-1-462.wav,spk11-1-1-462.wav,-0.333,2.667,F,6.8,sad,train,然后进心啊，然后就是就是提高正能量嘛，我们觉得自己满身负能量的时候去找他。
/tmp/CCSEMO/audio/spk11-1-1-465.wav,spk11-1-1-465.wav,-0.333,2.333,F,5.72,sad,train,没有我们历史生活坎坎坷，他之前重新找了一个，嗯嗯，说说。
/tmp/CCSEMO/audio/spk11-1-1-467.wav,spk11-1-1-467.wav,-0.667,2.333,F,7.66,sad,train,嗯，我妈就是过流产了，然后然后又生不到了，然后她就说她看开，他要自己一个人生活嘛。
/tmp/CCSEMO/audio/spk11-1-1-468.wav,spk11-1-1-468.wav,0.0,2.667,F,5.15,neutral,train,他之前抑郁过嘛，然后他就说呃，他带我去嗯生活玩。
/tmp/CCSEMO/audio/spk11-1-1-469.wav,spk11-1-1-469.wav,0.0,3.0,F,5.54,neutral,train,然后就是帮我走出来，因为他也是没打，之前他也吃过药，但是他觉得没有用嘛。
