name,audio_path,discrete_emotion,A,V,D,SpkrID,Gender,split_set,duration
MSP-PODCAST_0001_0073.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0073.wav,N,3.526316,3.315789,3.105263,30,Male,test,6.129125
MSP-PODCAST_0001_0074.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0074.wav,N,3.4,3.4,3.6,30,Male,test,10.227562
MSP-PODCAST_0001_0077.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0077.wav,N,2.8,4.0,3.0,30,Male,test,6.691125
MSP-PODCAST_0001_0078.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0078.wav,N,3.2,4.8,3.6,30,Male,test,6.837
MSP-PODCAST_0001_0079.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0079.wav,O,3.8,6.0,4.4,30,Male,test,5.86825
MSP-PODCAST_0001_0081.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0081.wav,N,3.266667,3.466667,2.733333,39,Male,train,10.525625
MSP-PODCAST_0001_0083.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0083.wav,X,4.421053,4.157895,4.210526,39,Male,train,4.1826875
MSP-PODCAST_0001_0084.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0084.wav,N,3.2,4.0,3.6,30,Male,test,8.252812
MSP-PODCAST_0001_0085.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0085.wav,N,3.4,4.8,3.8,39,Male,train,6.967437
MSP-PODCAST_0001_0086.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0086.wav,X,4.0,4.6,4.4,30,Male,test,8.6999375
MSP-PODCAST_0001_0088.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0088.wav,H,4.8,5.8,4.8,39,Male,train,9.8
MSP-PODCAST_0001_0091.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0091.wav,N,3.8,4.2,3.6,30,Male,test,7.992
MSP-PODCAST_0001_0092.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0092.wav,N,3.4,5.6,3.6,30,Male,test,8.252812
MSP-PODCAST_0001_0093.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0093.wav,N,2.333333,3.6,3.333333,30,Male,test,6.464437
MSP-PODCAST_0001_0094.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0094.wav,N,3.2,3.2,3.4,30,Male,test,7.563562
MSP-PODCAST_0001_0095.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0095.wav,N,3.2,4.6,4.0,39,Male,train,6.743875
MSP-PODCAST_0001_0096.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0096.wav,X,4.166667,4.0,4.666667,39,Male,train,6.3415
MSP-PODCAST_0001_0098.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0098.wav,U,4.6,3.6,4.8,39,Male,train,9.482375
MSP-PODCAST_0001_0100.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0100.wav,O,2.6,3.6,3.8,30,Male,test,6.837
MSP-PODCAST_0001_0101.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0101.wav,X,4.0,4.4,5.0,30,Male,test,10.525625
MSP-PODCAST_0001_0103.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0103.wav,N,4.1,4.4,4.1,39,Male,train,7.488375
MSP-PODCAST_0001_0105.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0105.wav,X,3.0,4.2,4.0,30,Male,test,10.482875
MSP-PODCAST_0001_0106.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0106.wav,X,3.8,5.0,3.8,39,Male,train,5.4770625
MSP-PODCAST_0001_0109.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0109.wav,N,2.4,4.4,3.2,30,Male,test,9.854938
MSP-PODCAST_0001_0110.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0110.wav,N,1.944444,3.666667,2.944444,30,Male,test,9.519625
MSP-PODCAST_0001_0111.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0111.wav,N,1.8,3.8,3.8,30,Male,test,7.046563
MSP-PODCAST_0001_0114.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0114.wav,N,2.210526,4.052632,3.315789,30,Male,test,6.837
MSP-PODCAST_0001_0121.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0121.wav,N,2.6,4.0,3.2,39,Male,train,8.821813
MSP-PODCAST_0001_0122.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0122.wav,X,3.8,4.0,3.6,39,Male,train,5.03
MSP-PODCAST_0001_0123.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0123.wav,N,3.111111,4.277778,3.833333,39,Male,train,7.675375
MSP-PODCAST_0001_0124.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0124.wav,X,4.2,4.6,4.2,39,Male,train,8.0479375
MSP-PODCAST_0001_0126.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0126.wav,N,4.0,3.8,4.4,39,Male,train,10.302125
MSP-PODCAST_0001_0128.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0128.wav,H,4.0,5.6,4.2,39,Male,train,9.761875
MSP-PODCAST_0001_0131.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0131.wav,X,4.4,5.466667,4.466667,39,Male,train,6.4644375
MSP-PODCAST_0001_0132.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0132.wav,N,2.277778,3.833333,3.111111,30,Male,test,4.975375
MSP-PODCAST_0001_0133.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0133.wav,N,3.8,4.4,3.8,30,Male,test,8.606813
MSP-PODCAST_0001_0134.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0134.wav,N,2.8,3.8,2.8,30,Male,test,7.973375
MSP-PODCAST_0001_0135.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0135.wav,N,3.2,4.0,3.2,30,Male,test,8.166438
MSP-PODCAST_0001_0136.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0136.wav,H,4.8,5.2,4.8,39,Male,train,8.632312
MSP-PODCAST_0001_0139.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0139.wav,N,2.4,4.0,2.8,30,Male,test,7.265437
MSP-PODCAST_0001_0142.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0142.wav,N,2.375,3.4375,2.6875,30,Male,test,5.737875
MSP-PODCAST_0001_0143.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0143.wav,F,4.285714,2.285714,4.428571,30,Male,test,9.053875
MSP-PODCAST_0001_0145.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0145.wav,F,3.2,2.4,2.2,30,Male,test,10.125687
MSP-PODCAST_0001_0146.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0146.wav,N,3.4,3.2,3.4,39,Male,train,8.718625
MSP-PODCAST_0001_0148.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0148.wav,F,4.2,1.8,4.8,39,Male,train,6.166313
MSP-PODCAST_0001_0150.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0150.wav,X,5.4,4.0,5.2,39,Male,train,8.5601875
MSP-PODCAST_0001_0151.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0151.wav,N,3.0,3.8,3.2,30,Male,test,7.22825
MSP-PODCAST_0001_0153.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0153.wav,N,3.4,3.2,4.2,39,Male,train,8.196938
MSP-PODCAST_0001_0154.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0154.wav,N,3.8,3.4,4.4,39,Male,train,8.476375
MSP-PODCAST_0001_0155.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0155.wav,X,5.0,3.888889,4.444444,39,Male,train,5.1044375
MSP-PODCAST_0001_0156.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0156.wav,N,3.3,4.7,4.3,39,Male,train,5.71925
MSP-PODCAST_0001_0160.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0160.wav,C,4.6,3.0,5.2,39,Male,train,6.5761875
MSP-PODCAST_0001_0161.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0161.wav,N,4.0,4.0,4.2,39,Male,train,7.209625
MSP-PODCAST_0001_0162.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0162.wav,C,3.6,3.0,4.2,39,Male,train,9.7245625
MSP-PODCAST_0001_0167.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0167.wav,N,4.0,3.4,4.0,39,Male,train,7.880312
MSP-PODCAST_0001_0168.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0168.wav,N,4.2,2.8,4.2,39,Male,train,4.992687
MSP-PODCAST_0001_0175.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0175.wav,U,3.0,3.2,3.0,30,Male,test,6.687938
MSP-PODCAST_0001_0178.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0178.wav,D,4.4,3.2,4.4,39,Male,train,4.862312
MSP-PODCAST_0001_0179.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0179.wav,F,5.0,2.5,4.25,30,Male,train,6.501688
MSP-PODCAST_0001_0180.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0180.wav,N,3.4,4.0,4.0,39,Male,train,7.2655
MSP-PODCAST_0001_0182.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0182.wav,N,4.0,4.0,4.0,39,Male,train,7.600812
MSP-PODCAST_0001_0185.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0001_0185.wav,N,3.058824,3.823529,3.529412,39,Male,train,4.340687
MSP-PODCAST_0002_0033.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0002_0033.wav,N,4.8,4.2,5.4,127,Female,test,2.830062
MSP-PODCAST_0002_0039.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0002_0039.wav,N,4.0,4.2,4.2,127,Female,test,10.770062
MSP-PODCAST_0002_0051.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0002_0051.wav,N,4.0,4.2,4.2,127,Female,test,10.690062
MSP-PODCAST_0002_0059.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0002_0059.wav,X,4.0,3.8,4.0,128,Female,test,9.1100625
MSP-PODCAST_0002_0061.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0002_0061.wav,F,3.4,2.8,4.2,128,Female,test,7.550063
MSP-PODCAST_0002_0124.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0002_0124.wav,X,5.2,4.4,5.2,128,Female,test,8.0200625
MSP-PODCAST_0003_0003.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0003.wav,S,3.4,2.4,4.2,2,Female,test,7.371562
MSP-PODCAST_0003_0052.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0052.wav,N,3.0,4.0,4.0,3,Male,train,7.59475
MSP-PODCAST_0003_0076.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0076.wav,N,5.2,3.6,5.2,2,Female,test,4.719
MSP-PODCAST_0003_0084.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0084.wav,N,2.2,4.0,3.6,3,Male,train,5.48
MSP-PODCAST_0003_0085.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0085.wav,X,4.0,3.0,3.8,3,Male,train,7.5466875
MSP-PODCAST_0003_0086.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0086.wav,N,2.4,4.0,3.6,3,Male,train,2.930125
MSP-PODCAST_0003_0106.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0106.wav,S,3.0,3.0,3.0,3,Male,train,7.668437
MSP-PODCAST_0003_0113.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0113.wav,N,4.4,3.8,4.2,3,Male,train,3.547
MSP-PODCAST_0003_0126.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0126.wav,D,2.4,3.0,4.2,3,Male,train,6.53675
MSP-PODCAST_0003_0127.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0127.wav,X,4.4,3.6,5.0,3,Male,train,9.4534375
MSP-PODCAST_0003_0129.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0129.wav,N,3.5,4.333333,4.0,3,Male,train,5.085813
MSP-PODCAST_0003_0140.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0140.wav,X,3.6,4.0,4.2,2,Female,test,6.322875
MSP-PODCAST_0003_0141.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0141.wav,S,3.090909,1.818182,4.090909,2,Female,test,7.494875
MSP-PODCAST_0003_0142.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0142.wav,F,2.8,3.2,3.2,2,Female,test,8.80575
MSP-PODCAST_0003_0143.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0143.wav,N,2.090909,3.818182,3.0,2,Female,test,3.84
MSP-PODCAST_0003_0144.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0144.wav,N,2.8,3.6,2.6,2,Female,test,6.585063
MSP-PODCAST_0003_0145.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0145.wav,U,3.2,2.8,4.6,2,Female,test,10.363312
MSP-PODCAST_0003_0146.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0146.wav,D,4.454545,2.636364,4.363636,2,Female,test,6.137812
MSP-PODCAST_0003_0147.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0147.wav,S,3.2,3.0,4.0,2,Female,test,4.657312
MSP-PODCAST_0003_0148.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0148.wav,N,3.8,3.2,4.0,2,Female,test,3.716625
MSP-PODCAST_0003_0149.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0149.wav,S,3.0,2.181818,3.727273,2,Female,test,9.273
MSP-PODCAST_0003_0150.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0150.wav,N,3.6,4.8,4.6,2,Female,test,6.935125
MSP-PODCAST_0003_0151.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0151.wav,S,3.8,3.4,4.4,2,Female,test,5.073688
MSP-PODCAST_0003_0152.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0152.wav,X,3.6,1.8,4.6,2,Female,test,4.534
MSP-PODCAST_0003_0153.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0153.wav,D,3.636364,2.363636,4.909091,2,Female,test,3.038063
MSP-PODCAST_0003_0154.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0154.wav,N,4.2,3.8,4.4,2,Female,test,6.409125
MSP-PODCAST_0003_0155.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0155.wav,O,4.4,3.4,4.4,2,Female,test,5.6814375
MSP-PODCAST_0003_0156.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0156.wav,U,3.8,3.6,3.6,2,Female,test,10.138563
MSP-PODCAST_0003_0157.wav,/mnt/shareEEx/liuyang/resources/datasets/MSP-PODCAST-Publish-2.0/Audios/MSP-PODCAST_0003_0157.wav,N,3.636364,3.0,4.0,2,Female,test,3.447875
